Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Star Wars Ep. VII: The Force Awakens,Dec,18,2015,306,936.662225,2058.662225,1122
Jurassic World,Jun,12,2015,215,652.19801,1670.328025,1018.130015
The Avengers,May,4,2012,225,623.279547,1519.479547,896.2
Furious 7,Apr,3,2015,190,351.03291,1514.019071,1162.986161
Avengers: Age of Ultron,May,1,2015,250,459.005868,1404.705868,945.7
Harry Potter and the Deathly Hallows: Part II,Jul,15,2011,125,381.011219,1341.511219,960.5
Frozen,Nov,22,2013,150,400.738009,1274.23498,873.496971
Iron Man 3,May,3,2013,200,408.992272,1215.392272,806.4
Minions,Jul,10,2015,74,336.04577,1163.624481,827.578711
Captain America: Civil War,May,6,2016,250,408.084349,1151.684349,743.6
Transformers: Dark of the Moon,Jun,29,2011,195,352.390543,1123.790543,771.4
Skyfall,Nov,8,2012,200,304.360277,1110.526981,806.166704
Transformers: Age of Extinction,Jun,27,2014,210,245.439076,1104.039076,858.6
The Dark Knight Rises,Jul,20,2012,275,448.139099,1084.439099,636.3
Toy Story 3,Jun,18,2010,200,415.00488,1069.818229,654.813349
Pirates of the Caribbean: On Stranger Tides,May,20,2011,250,241.063875,1045.663875,804.6
Alice in Wonderland,Mar,5,2010,200,334.19111,1025.49111,691.3
Zootopia,Mar,4,2016,150,341.268248,1021.768248,680.5
The Hobbit: An Unexpected Journey,Dec,14,2012,250,303.003568,1017.003568,714
Finding Dory,Jun,17,2016,200,484.434568,985.234568,500.8
Despicable Me 2,Jul,3,2013,76,368.065385,974.873764,606.808379
The Jungle Book,Apr,15,2016,175,364.001123,963.901123,599.9
The Hobbit: The Desolation of Smaug,Dec,13,2013,250,258.366855,960.366855,702
Harry Potter and the Deathly Hallows: Part I,Nov,19,2010,125,295.983305,960.283305,664.3
The Hobbit: The Battle of the Five Armies,Dec,17,2014,250,255.119788,955.119788,700
Ice Age: Continental Drift,Jul,13,2012,95,161.321843,879.765137,718.443294
Spectre,Nov,6,2015,300,200.074175,879.620923,679.546748
Batman v Superman: Dawn of Justice,Mar,25,2016,250,330.360194,868.160194,537.8
The Hunger Games: Catching Fire,Nov,22,2013,130,424.668047,864.868047,440.2
Inside Out,Jun,19,2015,175,356.461711,853.923085,497.461374
The Secret Life of Pets,Jul,8,2016,75,365.048935,833.848935,468.8
Inception,Jul,16,2010,160,292.576195,832.584416,540.008221
"The Twilight Saga: Breaking Dawn, Part 2",Nov,16,2012,136.2,292.324737,829.724737,537.4
Fast and Furious 6,May,24,2013,160,238.67985,789.952811,551.272961
Deadpool,Feb,12,2016,58,363.070709,783.770709,420.7
Guardians of the Galaxy,Aug,1,2014,170,333.172112,771.172112,438
The Hunger Games: Mockingjay - Part 1,Nov,21,2014,125,337.135885,766.652288,429.516403
Maleficent,May,30,2014,180,241.407328,758.536735,517.129407
The Amazing Spider-Man,Jul,3,2012,220,262.030663,757.890267,495.859604
Shrek Forever After,May,21,2010,165,238.736787,756.244673,517.507886
X-Men: Days of Future Past,May,23,2014,200,233.921534,747.862775,513.941241
Madagascar 3: Europe's Most Wanted,Jun,8,2012,145,216.391482,746.921271,530.529789
Monsters University,Jun,21,2013,200,268.488329,743.588329,475.1
Suicide Squad,Aug,5,2016,175,321.423924,735.023924,413.6
Gravity,Oct,4,2013,110,274.092705,716.392705,442.3
Captain America: The Winter Soldier,Apr,4,2014,170,259.746958,714.401889,454.654931
The Amazing Spider-Man 2,May,2,2014,200,202.853933,708.996336,506.142403
The Twilight Saga: Eclipse,Jun,30,2010,68,300.531751,706.102828,405.571077
Dawn of the Planet of the Apes,Jul,11,2014,170,208.545589,703.545589,495
Mission: Impossible - Rogue Nation,Jul,31,2015,150,195.042377,700.868363,505.825986
Mission: Impossible—Ghost Protocol,Dec,16,2011,145,209.397903,694.71323,485.315327
"The Twilight Saga: Breaking Dawn, Part 1",Nov,18,2011,127.5,281.287133,689.420051,408.132918
The Hunger Games,Mar,23,2012,80,408.010692,677.923379,269.912687
Man of Steel,Jun,14,2013,225,291.045518,667.999518,376.954
Interstellar,Nov,5,2014,165,188.017894,665.417894,477.4
Kung Fu Panda 2,May,26,2011,150,165.249063,664.837547,499.588484
Men in Black 3,May,25,2012,215,179.020854,654.213485,475.192631
Big Hero 6,Nov,7,2014,165,222.527828,652.127828,429.6
The Hunger Games: Mockingjay - Part 2,Nov,20,2015,160,281.723902,650.523427,368.799525
Thor: The Dark World,Nov,8,2013,150,206.36214,644.602516,438.240376
The Martian,Oct,2,2015,108,228.433663,640.055863,411.6222
Fast Five,Apr,29,2011,125,209.837675,629.969804,420.132129
Iron Man 2,May,7,2010,170,312.433331,623.561331,311.128
How to Train Your Dragon 2,Jun,13,2014,145,177.002924,616.102924,439.1
Life of Pi,Nov,21,2012,120,124.987022,607.987022,483
Tangled,Nov,24,2010,260,200.821936,586.581936,385.76
The Hangover Part II,May,26,2011,80,254.464305,586.464305,332
The Croods,Oct,1,2012,135,187.168425,573.068425,385.9
Fifty Shades of Grey,Feb,13,2015,40,166.16723,570.97847,404.81124
The Smurfs,Jul,29,2011,110,142.614158,563.749323,421.135165
Cars 2,Jun,24,2011,200,191.450875,560.155383,368.704508
Ted,Jun,29,2012,50,218.66574,556.016627,337.350887
Puss in Boots,Oct,28,2011,130,149.260504,554.987477,405.726973
Brave,Jun,22,2012,185,237.282182,554.606532,317.32435
Mei Ren Yu,Feb,19,2016,60.72,3.229457,552.198479,548.969022
